金杯汽车,SH600609,5.57
长江电力,SH600900,15.99
万盛股份,SH603010,19.52
龙蟒佰利,SZ002601,17.52
海鸥住工,SZ002084,6.18
新华联,SZ000620,6.18
白云电器,SH603861,13.75
金钼股份,SH601958,6.54
天奇股份,SZ002009,13.84
ST南化,SH600301,6.22
金陵体育,SZ300651,35.4
金杯电工,SZ002533,5.58
一汽富维,SH600742,16.75
国美通讯,SH600898,11.2
华新水泥,SH600801,13.3
当升科技,SZ300073,23.59
华东医药,SZ000963,55.35
中南建设,SZ000961,6.69
新坐标,SH603040,57.52
汉商集团,SH600774,15.51
美的集团,SZ000333,56.92
青岛海尔,SH600690,19.81
宝钢股份,SH600019,10.28
世名科技,SZ300522,16.35
深华发A,SZ000020,10.73
荣泰健康,SH603579,63.49
海螺水泥,SH600585,32.93
国光股份,SZ002749,59.4
淳中科技,SH603516,46.54
ST仰帆,SH600421,7.58
福成股份,SH600965,10.5
康泰生物,SZ300601,42.9
珠江钢琴,SZ002678,10.52
九阳股份,SZ002242,17.43
志邦股份,SH603801,61.8
双鹭药业,SZ002038,28.72
中国平安,SH601318,68.89
金岭矿业,SZ000655,5.18
ST新梅,SH600732,5.92
金字火腿,SZ002515,7.47
*ST东海A,SZ000613,7.51
老板电器,SZ002508,50.09
双象股份,SZ002395,10.17
焦作万方,SZ000612,7.53
温氏股份,SZ300498,23.07
劲拓股份,SZ300400,13.25
山东黄金,SH600547,26.59
金禾实业,SZ002597,25.55
日海通讯,SZ002313,25.57
恒立液压,SH601100,31.77
滨江集团,SZ002244,7.77
欢瑞世纪,SZ000892,7.8
ST信通,SH600289,3.51
首钢股份,SZ000959,5.49
*ST上普,SH600680,5.9
鲁亿通,SZ300423,25.29
粤华包B,SZ200986,3.57
胜利精密,SZ002426,5.55
中国巨石,SH600176,15.49
皇台酒业,SZ000995,7.98
中兴通讯,SZ000063,30.5
聚龙股份,SZ300202,19.28
北大医药,SZ000788,7.63
沃华医药,SZ002107,10.92
中关村,SZ000931,6.47
杭齿前进,SH601177,7.26
科泰电源,SZ300153,9.31
江粉磁材,SZ002600,7.29
星源材质,SZ300568,24.79
迪生力,SH603335,9.36
南钢股份,SH600282,5.28
久远银海,SZ002777,31.08
双成药业,SZ002693,4.92
广汇汽车,SH600297,7.0
国证钢铁,SZ399440,1815.54
红星发展,SH600367,9.92
索菲亚,SZ002572,37.1
东旭蓝天,SZ000040,12.09
置信电气,SH600517,5.04
鸿特精密,SZ300176,125.5
洛阳钼业,SH603993,6.74
武进不锈,SH603878,15.57
广信材料,SZ300537,15.29
赤峰黄金,SH600988,5.53
北巴传媒,SH600386,4.68
海正药业,SH600267,12.79
丹邦科技,SZ002618,9.41
本钢板材,SZ000761,5.15
中科曙光,SH603019,37.7
东方钽业,SZ000962,6.44
南京化纤,SH600889,6.45
天邦股份,SZ002124,9.95
科达股份,SH600986,9.52
星网宇达,SZ002829,24.08
*ST京城,SH600860,5.69
大通燃气,SZ000593,6.64
捷顺科技,SZ002609,14.93
金牌厨柜,SH603180,161.55
国光电器,SZ002045,12.97
龙韵股份,SH603729,42.15
迪马股份,SH600565,3.96
鹿港文化,SH601599,5.88
韶钢松山,SZ000717,7.21
环能科技,SZ300425,9.2
中国电影,SH600977,16.29
新筑股份,SZ002480,6.87
可立克,SZ002782,10.84
华友钴业,SH603799,99.99
上峰水泥,SZ000672,11.63
天首发展,SZ000611,6.73
神农基因,SZ300189,3.5
佩蒂股份,SZ300673,41.8
众业达,SZ002441,8.81
凯美特气,SZ002549,5.56
通威股份,SH600438,10.2
闽发铝业,SZ002578,4.1
*ST坊展,SH600149,7.94
中新赛克,SZ002912,99.4
爱尔眼科,SZ300015,35.1
赛腾股份,SH603283,23.91
海马汽车,SZ000572,3.65
创业软件,SZ300451,30.01
永辉超市,SH601933,10.48
圣农发展,SZ002299,13.12
八一钢铁,SH600581,15.89
复星医药,SH600196,39.91
览海投资,SH600896,6.14
*ST普林,SZ002134,6.96
三钢闽光,SZ002110,22.21
新天科技,SZ300259,8.89
高斯贝尔,SZ002848,13.49
紫金矿业,SH601899,4.59
大港股份,SZ002077,10.82
电工合金,SZ300697,20.39
欧派家居,SH603833,146.29
锡业股份,SZ000960,14.6
歌力思,SH603808,19.64
*ST华菱,SZ000932,9.43
哈空调,SH600202,7.27
三超新材,SZ300554,67.0
开能环保,SZ300272,7.62
普利特,SZ002324,22.13
*ST东海B,SZ200613,2.85
柳钢股份,SH601003,7.16
辅仁药业,SH600781,17.59
帝王洁具,SZ002798,45.89
顺鑫农业,SZ000860,17.71
英可瑞,SZ300713,63.38
康达新材,SZ002669,22.4
格力电器,SZ000651,54.24
陕西煤业,SH601225,8.89
老白干酒,SH600559,27.21
友阿股份,SZ002277,4.8
潞安环能,SH601699,12.29
新天药业,SZ002873,40.49
金正大,SZ002470,7.65
创新医疗,SZ002173,11.93
神州高铁,SZ000008,7.96
中航沈飞,SH600760,25.37
中国国旅,SH601888,51.8
晨光文具,SH603899,24.44
旗滨集团,SH601636,6.89
泰晶科技,SH603738,24.79
*ST东数,SZ002248,9.76
众源新材,SH603527,23.09
乐普医疗,SZ300003,26.66
华新B股,SH900933,1.302
春秋航空,SH601021,34.32
蓝思科技,SZ300433,25.38
杉杉股份,SH600884,17.23
旭光股份,SH600353,5.86
海默科技,SZ300084,5.87
高盟新材,SZ300200,8.51
平煤股份,SH601666,6.28
沙河股份,SZ000014,10.34
中能电气,SZ300062,5.69
良信电器,SZ002706,10.44
泰合健康,SZ000790,5.75
S佳通,SH600182,26.72
盐湖股份,SZ000792,12.2
国发股份,SH600538,5.42
深中华B,SZ200017,2.05
众泰汽车,SZ000980,10.23
正邦科技,SZ002157,4.75
纳思达,SZ002180,26.4
安图生物,SH603658,47.14
道恩股份,SZ002838,44.13
柘中股份,SZ002346,16.02
300材料,SH000909,2593.67
300材料,SZ399909,2593.67
*ST重钢,SH601005,2.15
丽鹏股份,SZ002374,4.29
京投发展,SH600683,5.4
华录百纳,SZ300291,10.8
赢合科技,SZ300457,24.2
云南铜业,SZ000878,12.48
云南锗业,SZ002428,10.82
英唐智控,SZ300131,6.5
通用股份,SH601500,7.62
沙隆达B,SZ200553,8.16
ST明科,SH600091,4.39
立讯精密,SZ002475,24.14
天音控股,SZ000829,8.25
东港股份,SZ002117,15.45
华联股份,SZ000882,2.77
苏泊尔,SZ002032,43.18
齐翔腾达,SZ002408,12.75
荣华实业,SH600311,4.45
水井坊,SH600779,45.07
ST山水,SH600234,12.9
大连热电,SH600719,5.04
上海钢联,SZ300226,56.03
汉邦高科,SZ300449,17.3
山河药辅,SZ300452,20.19
800有色,SH000823,4901.39
丽珠集团,SZ000513,68.68
中国中期,SZ000996,14.04
尚品宅配,SZ300616,164.51
农林指数,SZ399231,1099.34
北特科技,SH603009,10.75
盈峰环境,SZ000967,7.91
茂硕电源,SZ002660,9.6
合康新能,SZ300048,3.39
濮阳惠成,SZ300481,19.19
万向德农,SH600371,8.52
兰州民百,SH600738,7.98
腾龙股份,SH603158,18.22
三木集团,SZ000632,5.69
300可选,SH000911,6100.98
300可选,SZ399911,6100.98
景旺电子,SH603228,43.16
金固股份,SZ002488,12.66
华锋股份,SZ002806,16.1
市北高新,SH600604,6.35
丰元股份,SZ002805,22.03
金雷风电,SZ300443,13.29
韩建河山,SH603616,11.07
华明装备,SZ002270,8.15
吉艾科技,SZ300309,20.92
中牧股份,SH600195,19.34
合力泰,SZ002217,9.35
汉鼎宇佑,SZ300300,15.77
东华科技,SZ002140,8.25
金达威,SZ002626,18.21
珠三角,SZ399356,9081.9
国证煤炭,SZ399436,3352.16
豫光金铅,SH600531,6.52
*ST丹科,SH600844,5.91
西部黄金,SH601069,14.22
东睦股份,SH600114,14.24
华联综超,SH600361,4.76
伊戈尔,SZ002922,22.05
优势资源,SH000145,4022.21
太化股份,SH600281,4.78
金枫酒业,SH600616,7.17
继峰股份,SH603997,10.78
天圣制药,SZ002872,28.78
祥龙电业,SH600769,4.8
得邦照明,SH603303,12.04
粤照明B,SZ200541,6.03
易事特,SZ300376,7.21
安车检测,SZ300572,60.11
露天煤业,SZ002128,10.28
比亚迪,SZ002594,60.5
荣之联,SZ002642,9.7
林海股份,SH600099,7.32
*ST中绒,SZ000982,3.05
国证农牧,SZ399435,3023.79
宏达矿业,SH600532,9.19
深证治理,SZ399328,9591.85
航天信息,SH600271,19.15
*ST三维,SZ000755,6.15
东方海洋,SZ002086,10.47
上海物贸,SH600822,11.65
中路股份,SH600818,16.01
蓝光发展,SH600466,9.94
东风科技,SH600081,11.64
黑猫股份,SZ002068,9.09
诺力股份,SH603611,19.2
川化股份,SZ000155,6.13
高德红外,SZ002414,13.19
中钨高新,SZ000657,10.98
长鹰信质,SZ002664,25.55
赛摩电气,SZ300466,8.89
海伦哲,SZ300201,5.8
安阳钢铁,SH600569,4.92
水星家纺,SH603365,21.65
我武生物,SZ300357,46.68
道氏技术,SZ300409,48.25
方大炭素,SH600516,28.69
光线传媒,SZ300251,12.07
招商蛇口,SZ001979,23.2
*ST沪普B,SH900930,0.372
隆基股份,SH601012,32.96
山东金泰,SH600385,10.24
中证流通,SZ399902,5844.75
万年青,SZ000789,10.26
迅游科技,SZ300467,36.5
易世达,SZ300125,22.94
仁智股份,SZ002629,5.2
长盛轴承,SZ300718,35.7
北京利尔,SZ002392,4.28
*ST宝实,SZ000595,4.28
神州信息,SZ000555,9.49
英特集团,SZ000411,20.0
